,Model,r2_Score,MSE_Score,Accuracy_Score
0,Linear Regression,0.2906888244417082,0.5409758692623601,0.5415384615384615
1,Ridge Regression,0.29062989439966136,0.5410208138957177,0.540923076923077
2,Lasso Regression,0.2906991751378384,0.5409679750164643,0.5415384615384615
3,Elastic Net,0.29068397025933834,0.5409795714393701,0.5415384615384615
4,Random Forest,0.514359682434385,0.37038707692307693,0.6732307692307692
5,Logistic Regression,0.11970082613933042,0.6713846153846154,0.5304615384615384
6,Support Vector,0.4077931069919982,0.4516630355866104,0.5753846153846154
